School,Location,City,TRange,Tuition Fee,Course
UNIVERSITY OF MAKATI,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Nursing
UNIVERSITY OF MAKATI,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Elementary Education
UNIVERSITY OF MAKATI,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Civil Engineering
UNIVERSITY OF MAKATI,NCR,Makati,0 - 20000,"2,000-6,000",Bachelor of Science in Secondary Education
CENTRO ESCOLAR UNIVERSITY MAKATI,NCR,Makati,61000 - 80000,"70,000-80,000",Bachelor of Science in Accountancy
CENTRO ESCOLAR UNIVERSITY MAKATI,NCR,Makati,61000 - 80000,"70,000-80,000",Bachelor of Science in Nursing
CENTRO ESCOLAR UNIVERSITY MAKATI,NCR,Makati,61000 - 80000,"70,000-80,000",Bachelor of Science in Psychology
MAPUA INSTITUTE OF TECHNOLOGYMAKATI,NCR,Makati,81000 - 100000,"92,000-96,000",Bachelor of Science in Accountancy
MAPUA INSTITUTE OF TECHNOLOGYMANILA,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Civil Engineering
MAPUA INSTITUTE OF TECHNOLOGYMANILA,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Psychology
MAPUA INSTITUTE OF TECHNOLOGYMANILA,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Electronics Engineering
MAPUA INSTITUTE OF TECHNOLOGYMANILA,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Electrical Engineering
MAPUA INSTITUTE OF TECHNOLOGYMANILA,NCR,Manila,150000 above,"130,000-195,000",Bachelor of Science in Mechanical Engineering
PAMANTASAN NG LUNGSOD NG MAYNILA,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
PAMANTASAN NG LUNGSOD NG MAYNILA,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
PAMANTASAN NG LUNGSOD NG MAYNILA,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Accountancy
PAMANTASAN NG LUNGSOD NG MAYNILA,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
PAMANTASAN NG LUNGSOD NG MAYNILA,NCR,Manila,Free Tuition,Free Tuition,Bachelor of Science in Nursing
DE LA SALLE UNIVERSITYMANILA,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Elementary Education
DE LA SALLE UNIVERSITYMANILA,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Secondary Education
DE LA SALLE UNIVERSITYMANILA,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Accountancy
DE LA SALLE UNIVERSITYMANILA,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Civil Engineering
DE LA SALLE UNIVERSITYMANILA,NCR,Manila,150000 above,"205,000-225,000",Bachelor of Science in Psychology
RIZAL TECHNOLOGICAL UNIVERSITY,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
RIZAL TECHNOLOGICAL UNIVERSITY,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Accountancy
RIZAL TECHNOLOGICAL UNIVERSITY,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
RIZAL TECHNOLOGICAL UNIVERSITY,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Psychology
RIZAL TECHNOLOGICAL UNIVERSITY,NCR,Mandaluyong,Free Tuition,Free Tuition,Bachelor of Science in Electrical Engineering
ARELLANO UNIVERSITY  MANDALUYONG,NCR,Mandaluyong,41000 - 60000,"50,000-60,000",Bachelor of Science in Elementary Education
ARELLANO UNIVERSITY  MANDALUYONG,NCR,Mandaluyong,41000 - 60000,"50,000-60,000",Bachelor of Science in Secondary Education
ARELLANO UNIVERSITY  MANDALUYONG,NCR,Mandaluyong,41000 - 60000,"50,000-60,000",Bachelor of Science in Criminology
JOSE RIZAL UNIVERSITY (for.JRC),NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Elementary Education
JOSE RIZAL UNIVERSITY (for.JRC),NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Secondary Education
JOSE RIZAL UNIVERSITY (for.JRC),NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Criminology
JOSE RIZAL UNIVERSITY (for.JRC),NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Accountancy
JOSE RIZAL UNIVERSITY (for.JRC),NCR,Mandaluyong,41000 - 60000,"40,000-50,000",Bachelor of Science in Nursing
"DOMINICAN COLLEGESAN JUAN, MM",NCR,San Juan City,81000 - 100000,"80,000",Bachelor of Science in Secondary Education
"DOMINICAN COLLEGESAN JUAN, MM",NCR,San Juan City,81000 - 100000,"80,000",Bachelor of Science in Nursing
"DOMINICAN COLLEGESAN JUAN, MM",NCR,San Juan City,81000 - 100000,"80,000",Bachelor of Science in Psychology
POLYTECHNIC UNIVERSITY OF THE PHILIPPINESSN JUAN,NCR,San Juan City,Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
POLYTECHNIC UNIVERSITY OF THE PHILIPPINESSN JUAN,NCR,San Juan City,Free Tuition,Free Tuition,Bachelor of Science in Accountancy
ARELLANO UNIVERSITYPASAY,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Elementary Education
ARELLANO UNIVERSITYPASAY,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Secondary Education
ARELLANO UNIVERSITYPASAY,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Nursing
ARELLANO UNIVERSITYPASAY,NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Psychology
PAMANTASAN NG LUNGSOD NG PASAY,NCR,Pasay,0 - 20000,"6,000-12,000",Bachelor of Science in Elementary Education
PAMANTASAN NG LUNGSOD NG PASAY,NCR,Pasay,0 - 20000,"6,000-12,000",Bachelor of Science in Secondary Education
PAMANTASAN NG LUNGSOD NG PASAY,NCR,Pasay,0 - 20000,"6,000-12,000",Bachelor of Science in Nursing
MANILA ADVENTIST COLLEGE(FOR MLA ADV. MCSMA),NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Accountancy
MANILA ADVENTIST COLLEGE(FOR MLA ADV. MCSMA),NCR,Pasay,41000 - 60000,"50,000-60,000",Bachelor of Science in Nursing
OLIVAREZ COLLEGEPARAÑAQUE,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Elementary Education
OLIVAREZ COLLEGEPARAÑAQUE,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Secondary Education
OLIVAREZ COLLEGEPARAÑAQUE,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Criminology
OLIVAREZ COLLEGEPARAÑAQUE,NCR,Paranaque City,41000 - 60000,"54,000-64,000",Bachelor of Science in Accountancy
UNIVERSAL COLLEGES OF PARAÑAQUE,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Elementary Education
UNIVERSAL COLLEGES OF PARAÑAQUE,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Secondary Education
UNIVERSAL COLLEGES OF PARAÑAQUE,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Accountancy
UNIVERSAL COLLEGES OF PARAÑAQUE,NCR,Paranaque City,41000 - 60000,"42,000-50,000",Bachelor of Science in Nursing
IMMACULATE HEART OF MARY COLLEGEPARANAQUE,NCR,Paranaque City,41000 - 60000,"40,000-50,000",Bachelor of Science in Secondary Education
IMMACULATE HEART OF MARY COLLEGEPARANAQUE,NCR,Paranaque City,41000 - 60000,"40,000-50,000",Bachelor of Science in Psychology
SOUTHVILLE INTERNATIONAL SCHOOL AND COLLEGES,NCR,Las Pinas,101000 - 120000,"100,000-120,000",Bachelor of Science in Accountancy
SOUTHVILLE INTERNATIONAL SCHOOL AND COLLEGES,NCR,Las Pinas,101000 - 120000,"100,000-120,000",Bachelor of Science in Nursing
SOUTHVILLE INTERNATIONAL SCHOOL AND COLLEGES,NCR,Las Pinas,101000 - 120000,"100,000-120,000",Bachelor of Science in Psychology
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTALAS PINAS,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Elementary Education
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTALAS PINAS,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Secondary Education
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTALAS PINAS,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Criminology
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTALAS PINAS,NCR,Las Pinas,61000 - 80000,"64,000-66,000",Bachelor of Science in Accountancy
BERNARDO COLLEGE,NCR,Las Pinas,21000 - 40000,"34,000-38,000",Bachelor of Science in Elementary Education
BERNARDO COLLEGE,NCR,Las Pinas,21000 - 40000,"34,000-38,000",Bachelor of Science in Secondary Education
LYCEUM OF ALABANG (for. NCST),NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Elementary Education
LYCEUM OF ALABANG (for. NCST),NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Secondary Education
LYCEUM OF ALABANG (for. NCST),NCR,Muntinlupa City,41000 - 60000,"40,000-50,000",Bachelor of Science in Criminology
