SCHOOL,% PASSED
"COLEGIO DE SAN LORENZO RUIZ DE MANILA, INC.",1.11%
COLEGIO DE SAN PASCUAL BAYLON,6.67%
COLEGIO DE SAN SEBASTIAN- MINDORO,17.95%
"COLEGIO DE SANTA MONICA, INC",0.00%
COLEGIO DE STA. ANA DE VICTORIAS - NEGROS OCCIDENTAL,24.36%
COLEGIO DE STA. CATALINA DE ALEJANDRIA,100.00%
COLEGIO DE STA. RITA,13.04%
"COLEGIO DE STA. TERESA DE AVILA FOUNDATION,INC",36.00%
COLEGIO DE STO. NIÑO DE CABUYAO,11.11%
COLEGIO DE STO. NIÑO DE JASAAN,0.00%
COLEGIO DEL SAGRADO CORAZON DE JESUS,0.00%
COLEGIO NG LUNGSOD NG BATANGAS-BATANGAS CITY,36.29%
COLEGIO SAN AGUSTIN-BACOLOD CITY,33.33%
COLEGIO SAN JOSE DE ALAMINOS,16.67%
COLLEGE OF MAASIN,0.00%
COLLEGE OF MARY IMMACULATE,14.29%
COLLEGE OF ST. CATHERINE,12.50%
COLLEGE OF THE HOLY SPIRIT OF TARLAC,25.00%
COLLEGE OF THE IMMACULATE CONCEPTION-CABANATUAN,15.00%
COLUMBAN COLLEGE-OLONGAPO CITY,38.46%
COLUMBAN COLLEGE-ZAMBALES,25.00%
"COMMUNITY COLLEGE OF MANITO - MANITO , ALBAY",4.17%
COMPOSTELA VALLEY STATE COLLEGE - MAIN,65.38%
COMPOSTELA VALLEY STATE COLLEGE - MARAGUSAN BRANCH,22.22%
COMPOSTELA VALLEY STATE COLLEGE - NEW BATAAN BRANCH,37.50%
CONCEPCION COLLEGE OF FISHERIES,0.00%
CONCEPCION HOLY CROSS COLLEGE,16.18%
CONCORDIA COLLEGE,50.00%
CONGRESS COLLEGE,20.00%
CONSOLACION COMMUNITY COLLEGE-CONSOLACION CEBU,22.73%
CONSOLATRIX COLLEGE OF TOLEDO CITY,0.00%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),75.00%
CORDILLERA CAREER DEVELOPMENT COLLEGE,18.75%
"CORDOVA PUBLIC COLLEGE - CORDOVA, CEBU",23.64%
CORE GATEWAY COLLEGE (for.THE COLL.OF THE REP),12.50%
COTABATO CITY STATE POLYTECHNIC COLLEGE,20.00%
COTABATO FOUNDATION COLLEGE OF SCIENCE & TECHNOLOGY,21.09%
CRISTAL e-COLLEGE-PANGLAO CAMPUS,40.00%
DAGUPAN COLLEGES FOUNDATION (DAGUPAN C.C.S.T.),0.00%
DALUBHASAAN NG LUNGSOD NG SAN PABLO,31.82%
DANIEL B. PENA MEMORIAL COLLEGE FOUNDATION,11.11%
DANSALAN POLYTECHNIC COLLEGE,3.13%
DARAGA COMMUNITY COLLEGE,12.05%
DATA CENTER COLLEGE OF THE PHILIPPINES-LAOAG CITY,20.75%
DATU IBRAHIM PAGLAS MEMORIAL COLLEGE,6.98%
DATU MALA MUSLIM MINDANAO ISLAMIC COLLEGE FOUNDATION INC,0.00%
DAVAO CENTRAL COLLEGE,33.87%
DAVAO DEL NORTE STATE COLLEGE,100.00%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,34.60%
"DAVAO VISION COLLEGES, INC- CATALUNAN,DAVAO CITY",36.36%
DAVAO WINCHESTER COLLEGES,0.00%
"DE LA SALLE JOHN BOSCO COLLEGE-BISLIG,SURIGAO CITY",57.14%
DE LA SALLE UNIVERSITY- DASMARIÑAS,31.58%
DE LA SALLE UNIVERSITY-LIPA,72.22%
DE LA SALLE UNIVERSITY-MANILA,90.48%
"DE LA SALLE-ARANETA UNIVERSITY,INC (GAUF)",16.67%
DE LA VIDA COLLEGE,2.30%
DE PAUL COLLEGE,0.00%
DEAF EVANGELISTIC ALLIANCE FOUNDATION,4.26%
DEL SUR GOOD SHEPHERD COLLEGE,0.00%
DIAZ COLLEGE,2.94%
